Date,Open,High,Low,Close,Volume
08/21/2024,"2,985.00","3,015.85","2,980.00","2,996.55","90,361"
08/20/2024,"2,986.25","3,007.65","2,981.00","2,993.35","311,800"
08/19/2024,"2,967.45","2,996.35","2,963.00","2,977.20","92,320"
08/16/2024,"2,933.35","2,961.00","2,916.65","2,956.15","623,255"
08/14/2024,"2,926.50","2,943.40","2,908.00","2,922.65","57,087"
08/13/2024,"2,925.00","2,939.90","2,915.60","2,926.90","1,486,008"
08/12/2024,"2,932.40","2,946.00","2,916.20","2,921.50","146,474"
08/09/2024,"2,927.70","2,954.05","2,912.05","2,948.30","381,256"
08/08/2024,"2,923.00","2,927.20","2,892.25","2,895.50","177,212"
08/07/2024,"2,945.75","2,946.10","2,923.00","2,929.20","122,273"
08/06/2024,"2,901.15","2,955.35","2,901.15","2,911.80","194,135"
08/05/2024,"2,950.05","2,960.10","2,865.80","2,894.70","247,164"
08/02/2024,"3,000.40","3,018.35","2,985.80","2,998.45","612,462"
08/01/2024,"3,023.80","3,036.90","3,009.85","3,031.70","69,866"
07/31/2024,"3,013.95","3,020.95","3,003.10","3,010.25","62,664"
07/30/2024,"3,034.75","3,049.90","3,021.15","3,025.55","145,741"
07/29/2024,"3,039.95","3,054.00","3,025.45","3,040.75","59,528"
07/26/2024,"2,998.75","3,025.95","2,981.90","3,017.85","771,164"
07/25/2024,"2,961.00","3,001.15","2,954.70","2,982.60","87,372"
07/24/2024,"2,964.85","3,020.00","2,953.70","2,990.65","164,239"
07/23/2024,"3,004.95","3,012.85","2,927.10","2,975.65","263,864"
07/22/2024,"3,070.15","3,073.35","2,998.80","3,001.10","190,073"
